,u1,u2,u3,u4,u5,v1,v2,v3,v4,v5,w1,w2,w3,w4,w5
0,6200,6000,6000,6300,6600,5200,5200,5000,4800,3900,6400,6300,7800,6200,7100
1,6300,6100,6900,6200,5800,4400,5400,4400,4600,4700,7400,7400,6800,7500,6600
2,4800,6100,6300,6200,6800,4800,4700,4000,4600,4900,5900,6800,7100,7200,7000
3,5800,6600,5900,6000,6000,4500,4300,4100,4300,5000,7600,7500,5900,7000,7000
4,6500,6000,6100,4900,6000,4700,5200,4700,4300,4300,8300,7100,6400,7100,6100
5,6000,5700,6200,6100,5600,4200,4600,4200,5000,4000,6900,7700,7800,6400,6500
6,5900,6700,7000,7700,5500,3800,4600,3800,4400,4600,7100,6000,6900,6500,6400
7,6400,6400,6200,5200,5100,4800,4700,5000,5200,5000,7400,6900,8700,8100,6800
8,5300,5100,4500,6000,5200,4500,4600,4500,5100,4400,7600,6500,6700,6400,6800
9,5800,6100,7100,6900,5400,4500,4500,4800,4100,3700,7300,7000,7000,7200,7300
10,5300,6300,6600,6200,6400,4000,4400,4600,5100,5100,6000,7200,6400,8200,7000
11,6900,5700,6200,6100,5100,4100,4500,4800,4000,4500,7800,7200,6600,6000,7100
