,l1,l2,f1,f2,f3,f4,f5,g1,g2,g3,g4,g5,h1,h2,h3,h4,h5,i1,i2,i3,j1,j2,j3,j4,u1,u2,u3,u4,u5,v1,v2,v3,v4,v5,w1,w2,w3,w4,w5
l1,0.0,160.0,290.0,200.0,150.0,230.0,300.0,230.0,240.0,300.0,260.0,310.0,310.0,130.0,140.0,170.0,300.0,310.0,330.0,210.0,210.0,300.0,330.0,140.0,320.0,330.0,150.0,110.0,260.0,110.0,130.0,130.0,250.0,270.0,210.0,330.0,170.0,280.0,260.0
l2,160.0,0.0,310.0,240.0,250.0,170.0,310.0,160.0,250.0,340.0,240.0,230.0,290.0,120.0,100.0,130.0,100.0,150.0,100.0,220.0,170.0,300.0,150.0,140.0,270.0,260.0,120.0,160.0,270.0,300.0,260.0,180.0,210.0,210.0,210.0,200.0,280.0,270.0,190.0
f1,290.0,310.0,0.0,140.0,340.0,320.0,160.0,250.0,290.0,250.0,300.0,110.0,220.0,250.0,310.0,200.0,320.0,260.0,280.0,200.0,240.0,300.0,260.0,180.0,230.0,320.0,310.0,210.0,220.0,140.0,200.0,290.0,150.0,240.0,200.0,160.0,200.0,130.0,250.0
f2,200.0,240.0,140.0,0.0,240.0,140.0,310.0,240.0,220.0,300.0,340.0,340.0,130.0,130.0,120.0,190.0,300.0,210.0,190.0,280.0,120.0,340.0,100.0,240.0,150.0,160.0,130.0,210.0,300.0,180.0,310.0,270.0,270.0,120.0,230.0,290.0,130.0,270.0,320.0
f3,150.0,250.0,340.0,240.0,0.0,260.0,160.0,150.0,130.0,300.0,180.0,330.0,220.0,300.0,190.0,330.0,330.0,150.0,100.0,110.0,140.0,310.0,330.0,200.0,290.0,320.0,180.0,330.0,200.0,300.0,170.0,320.0,340.0,280.0,330.0,330.0,110.0,270.0,230.0
f4,230.0,170.0,320.0,140.0,260.0,0.0,170.0,100.0,320.0,330.0,280.0,110.0,100.0,220.0,190.0,130.0,140.0,290.0,210.0,230.0,310.0,170.0,330.0,330.0,140.0,280.0,170.0,160.0,150.0,320.0,220.0,340.0,170.0,320.0,180.0,130.0,110.0,220.0,120.0
f5,300.0,310.0,160.0,310.0,160.0,170.0,0.0,200.0,140.0,250.0,270.0,160.0,340.0,200.0,220.0,160.0,330.0,320.0,290.0,100.0,120.0,290.0,110.0,280.0,340.0,110.0,310.0,270.0,280.0,160.0,200.0,130.0,250.0,200.0,310.0,270.0,270.0,240.0,230.0
g1,230.0,160.0,250.0,240.0,150.0,100.0,200.0,0.0,220.0,250.0,110.0,190.0,120.0,220.0,200.0,210.0,290.0,290.0,230.0,210.0,140.0,330.0,120.0,260.0,280.0,330.0,270.0,160.0,110.0,170.0,170.0,270.0,180.0,130.0,240.0,230.0,300.0,330.0,300.0
g2,240.0,250.0,290.0,220.0,130.0,320.0,140.0,220.0,0.0,150.0,270.0,320.0,100.0,280.0,260.0,340.0,240.0,300.0,170.0,280.0,310.0,280.0,220.0,310.0,100.0,220.0,260.0,190.0,340.0,260.0,140.0,110.0,270.0,170.0,300.0,180.0,240.0,100.0,120.0
g3,300.0,340.0,250.0,300.0,300.0,330.0,250.0,250.0,150.0,0.0,130.0,270.0,290.0,200.0,280.0,150.0,160.0,220.0,250.0,130.0,110.0,140.0,260.0,110.0,330.0,320.0,190.0,300.0,170.0,290.0,270.0,110.0,180.0,250.0,310.0,240.0,100.0,330.0,200.0
