,f1,f2,f3,f4,f5,g1,g2,g3,g4,g5,h1,h2,h3,h4,h5,j1,j2,j3,j4,u1,u2,u3,u4,u5
0,27400,22500,23900,24700,28100,8800,11500,7900,8500,9700,15300,16000,15400,14400,15400,24500,23400,23900,23500,30100,30700,30800,29100,29200
1,28100,21900,23000,24800,22600,10200,8300,8300,10500,11000,16200,14100,14400,15700,14600,24900,22700,23500,23700,29100,29400,30700,29100,29900
2,26000,24300,25800,22900,27300,9700,11300,8200,10800,9000,12000,15800,13600,15900,15500,25600,24900,24700,23700,28200,30000,29300,29700,30200
3,26900,25800,21700,24100,22800,10700,9400,8600,9500,10100,15200,15300,14100,14200,15600,25600,25100,25000,25200,29600,29900,30600,29800,28900
4,22100,22900,25500,23900,26600,8700,10900,8400,9700,11200,14200,15700,13900,14900,15500,25500,25300,25000,26100,30900,30500,30200,29100,32000
5,24800,25600,25500,28300,26300,11200,9400,11000,9900,9600,15800,13700,14300,14800,14000,26900,26500,25700,26700,30500,29200,29900,30300,29700
6,25600,26400,25800,25700,25600,8800,9400,11600,12100,9500,15700,17200,15800,14700,15600,25300,26500,25200,24200,29900,31200,29700,29200,32600
7,23800,23400,22300,24000,26200,9500,11000,8400,10100,9600,14800,16400,17100,13600,14500,25100,24500,25400,24600,30500,29000,28500,30100,28100
8,24600,23400,25000,23800,23800,9600,10400,9800,8800,9900,12500,13800,16500,14600,16300,25000,24900,23900,25600,29600,29800,28400,30900,29100
9,23000,25100,27300,22300,24800,10400,8500,11000,9100,10700,15400,15200,16300,16400,14900,25200,27100,23600,25200,29800,30000,31800,29000,30500
10,24100,22600,25100,24600,25300,11100,8800,10200,9000,10400,13600,15500,13000,15100,15600,25000,24900,25100,24000,29800,29600,28200,28500,31600
11,25600,30700,24700,21900,28500,10200,9500,11800,8500,9400,13600,14400,15800,16000,15100,24600,24700,25600,24800,30600,30800,31500,29400,32400
