,u1,u2,u3,u4,u5,v1,v2,v3,v4,v5,w1,w2,w3,w4,w5
0,299000,297000,311000,315000,291000,200000,189000,191000,188000,205000,206000,207000,200000,205000,192000
1,298000,291000,316000,297000,316000,220000,210000,210000,202000,202000,193000,201000,209000,202000,213000
2,308000,316000,314000,308000,288000,200000,178000,194000,192000,219000,197000,190000,201000,202000,198000
3,298000,302000,304000,314000,298000,204000,212000,205000,217000,186000,203000,196000,200000,205000,199000
4,289000,288000,311000,316000,298000,207000,189000,194000,224000,205000,198000,195000,196000,184000,205000
5,303000,302000,280000,317000,308000,201000,227000,208000,209000,198000,197000,205000,198000,198000,199000
6,289000,304000,294000,319000,288000,210000,206000,205000,214000,190000,203000,199000,205000,204000,190000
7,311000,294000,305000,296000,299000,224000,176000,205000,202000,208000,197000,208000,199000,195000,196000
8,284000,305000,311000,295000,317000,202000,202000,200000,213000,187000,196000,195000,188000,206000,202000
9,304000,290000,286000,297000,289000,195000,207000,222000,217000,205000,206000,192000,192000,203000,208000
10,306000,271000,284000,291000,303000,217000,196000,206000,216000,200000,191000,201000,203000,203000,196000
11,282000,305000,292000,294000,279000,197000,196000,208000,208000,211000,208000,205000,196000,201000,201000
