,f1,f2,f3,f4,f5,g1,g2,g3,g4,g5,h1,h2,h3,h4,h5,j1,j2,j3,j4,u1,u2,u3,u4,u5
0,1080,910,1260,980,1140,480,620,520,610,650,630,640,640,630,580,960,1030,980,880,700,710,870,780,760
1,1320,1400,1060,1110,1430,640,630,620,620,630,550,650,560,640,570,970,1200,1020,900,810,720,730,770,770
2,1160,1380,1090,1350,1220,630,520,670,630,630,540,640,540,620,600,820,830,770,970,790,840,730,650,810
3,1060,1160,1210,1150,1140,690,510,640,580,560,610,570,620,600,480,980,1090,890,1000,870,860,800,880,640
4,1010,1050,1220,1100,1430,520,470,710,590,630,530,650,700,530,460,1140,1080,1030,1040,690,900,870,810,750
5,1330,1060,1290,1020,1490,580,640,510,580,560,600,560,620,610,620,1060,1000,1010,990,840,900,790,940,650
6,960,1510,1230,1310,1150,570,480,640,540,600,560,590,610,590,630,960,1030,1020,970,700,820,810,780,840
7,1170,1280,1150,1140,1350,630,690,690,640,620,580,620,610,620,480,1000,840,1020,950,840,690,950,790,810
8,1280,1410,1280,1290,1390,610,580,660,660,550,660,650,590,570,510,770,1060,1030,940,910,700,810,680,850
9,1050,1210,1100,1400,1170,630,590,600,730,620,590,660,530,720,580,1040,1060,1010,1070,940,710,760,870,810
10,1380,990,1210,1230,850,550,600,640,590,570,620,520,490,560,660,980,1110,1080,1040,770,850,840,770,850
11,1330,1060,1120,1140,1130,560,620,460,660,560,590,540,500,500,580,900,1050,1120,1100,860,880,690,870,780
