,-50.0%,-25.0%,0%,25.0%,50.0%
Gesamtkosten,60150820,58857509,58448259,58444846,58444846
Einrichtungskosten,10870000,9200000,9200000,9200000,9200000
Produktionskosten,46007750,46481775,45999300,45991300,45991300
Transportkosten,1985669,1926778,1963263,1965813,1965813
Emissionskosten,1287401,1248956,1285696,1287733,1287733
CO2-Ausstoß,15145895,14693601,15125837,15149797,15149797
Optimality Gap,0.0,2.531734919960194e-16,5.098923890229019e-16,1.274805421666687e-16,1.2748054216666873e-16
Run Time,6.074993133544922,6.704385042190552,6.213853120803833,8.449331045150757,8.98788595199585
Variables,6293,12586,18879,25172,31465
Constraints,1694,3388,5082,6776,8470
Nodes,1057.0,952.0,713.0,864.0,362.0
