,-50.0%,-25.0%,0.0%,25.0%,50.0%
Gesamtkosten,62000514,58723149,55999933,52414353,48960885
Einrichtungskosten,9030000,9100000,10060000,10060000,11770000
Produktionskosten,50479275,46862238,43015150,39171762,33731975
Transportkosten,1539011,1692963,1778978,1943606,2122675
Emissionskosten,952228,1067948,1145805,1238985,1336235
CO2-Ausstoß,11202677,12564093,13480060,14576289,15720406
Optimality Gap,2.40339318657666e-16,1.4687335767629907e-05,2.1743306451709996e-07,1.9311027001617004e-08,1.2998283013713627e-05
Run Time,6.800872087478638,12.777788162231445,25.220540046691895,19.709625005722046,6.754683017730713
Variables,6293,12586,18879,25172,31465
Constraints,1694,3388,5082,6776,8470
Nodes,789.0,2325.0,5385.0,4942.0,627.0
