,-50.0%,-25.0%,0.0%,25.0%,50.0%
Gesamtkosten,65311937,63561831,60434000,58819387,58635911
Einrichtungskosten,8840000,9030000,9150000,10170000,13330000
Produktionskosten,53739875,50974513,47765350,44573488,41213191
Transportkosten,1615034,2230260,2048480,2396621,2239508
Emissionskosten,1117028,1327058,1470169,1679278,1853213
CO2-Ausstoß,13141508,15612449,17296106,19756208,21143377
Optimality Gap,0.0,4.312298368050779e-08,2.465691715700856e-16,4.690646452441454e-08,4.56265248229575e-07
Run Time,3.8380520343780518,15.736854076385498,9.685588121414185,46.16111779212952,28.065334796905518
Variables,6293,12586,18879,25172,31465
Constraints,1694,3388,5082,6776,8470
Nodes,262.0,5171.0,1868.0,10356.0,55333.0
