,-50.0%,-25.0%,0.0%,25.0%,50.0%
Gesamtkosten,70407079,71286653,70826120,70910122,70755793
Einrichtungskosten,8810000,9050000,8870000,9870000,10020000
Produktionskosten,58927050,58852651,58253556,57633852,57083005
Transportkosten,1613959,2155415,2321448,1945652,2048055
Emissionskosten,1056070,1228586,1381116,1460618,1604733
CO2-Ausstoß,12424354,14453957,16248424,17183746,18879210
Optimality Gap,1.4346062653775281e-05,2.0626426565965537e-08,1.0463066522809613e-08,5.015530913308095e-08,2.42811916937178e-07
Run Time,4.069308042526245,13.789018154144287,5.894225835800171,8.81928300857544,28.00510883331299
Variables,6293,12586,18879,25172,31465
Constraints,1694,3388,5082,6776,8470
Nodes,336.0,8999.0,1106.0,2368.0,5361.0
