,-50.0%,-25.0%,0.0%,25.0%,50.0%
Gesamtkosten,63108707,61360610,58448259,57883263,55577949
Einrichtungskosten,7320000,9030000,9200000,10740000,11120000
Produktionskosten,53214300,49454550,45999300,43751575,40820050
Transportkosten,1567995,1742829,1963263,2004801,2131543
Emissionskosten,1006412,1133230,1285696,1386887,1506356
CO2-Ausstoß,11840142,13332123,15125837,16316315,17721831
Optimality Gap,4.722378851943006e-16,4.856914301824062e-16,0.0,9.274166351775295e-09,4.0432627627326143e-05
Run Time,4.225956916809082,13.143363952636719,5.381869792938232,38.40792989730835,19.203829050064087
Variables,6293,12586,18879,25172,31465
Constraints,1694,3388,5082,6776,8470
Nodes,354.0,2991.0,346.0,13586.0,7284.0
