,-50.0%,-25.0%,0.0%,25.0%,50.0%
Gesamtkosten,56906214.39050001,56700696.61899999,56320997.530999914,56123117.08149994,55931387.64799992
Einrichtungskosten,13420000,13420000,12840000,12840000,12840000
Produktionskosten,39037900,38794625,38758550,38515275,38272000
Transportkosten,1872605,1890410,2029129,2053166,2082285
Emissionskosten,2575709,2595662,2693319,2714676,2737103
CO2-Ausstoß,26535145,26684042,27412826,27572208,27739573
Optimality Gap,0.019316126227167326,0.0012808785893986458,2.295834660430863e-08,2.8799113577089646e-09,1.444891627122542e-09
Run Time,300.0205090045929,300.00906586647034,25.5956609249115,25.07026195526123,75.63437700271606
Variables,6293,12586,18879,25172,31465
Constraints,1694,3388,5082,6776,8470
Nodes,679908.0,343143.0,39428.0,30695.0,52210.0
