,-50.0%,-25.0%,0.0%,25.0%,50.0%
Gesamtkosten,56499290.16150001,56498815.67850003,56320996.68199991,56315876.35349992,56311107.11299994
Einrichtungskosten,13420000,13420000,12840000,12840000,12840000
Produktionskosten,38551350,38551350,38758550,38752650,38746750
Transportkosten,1910914,1911224,2029126,2031374,2033941
Emissionskosten,2617026,2616241,2693321,2691852,2690416
CO2-Ausstoß,26843478,26837622,27412841,27401882,27391166
Optimality Gap,8.409858500627562e-06,1.8456671329728094e-08,3.052867701676694e-05,1.167852218156758e-08,2.418218850603231e-08
Run Time,15.259117126464844,41.16105794906616,21.09892702102661,54.935139179229736,23.536751985549927
Variables,6293,12586,18879,25172,31465
Constraints,1694,3388,5082,6776,8470
Nodes,15802.0,32160.0,25436.0,42385.0,25290.0
