,-50.0%,-25.0%,0.0%,25.0%,50.0%
Gesamtkosten,59888394.74999994,57786252.07599996,56320997.530999914,54846061.011999846,54391653.52299994
Einrichtungskosten,15920000,13790000,12840000,11510000,11270000
Produktionskosten,39074250,39036903,38758550,38584750,38552100
Transportkosten,2137040,2202454,2029129,2083120,1949125
Emissionskosten,2757105,2756895,2693319,2668191,2620429
CO2-Ausstoß,27888840,27887273,27412826,27225309,26868872
Optimality Gap,3.1076317614320903e-09,4.532268204057423e-06,2.295834660430863e-08,1.7753820221200416e-09,0.0
Run Time,65.10961318016052,26.99087619781494,24.885658025741577,17.755967140197754,12.077588081359863
Variables,6293,12586,18879,25172,31465
Constraints,1694,3388,5082,6776,8470
Nodes,50031.0,36857.0,39428.0,16067.0,2899.0
