,-50.0%,-25.0%,0.0%,25.0%,50.0%
Gesamtkosten,63533944.68700007,62060526.84900001,60269586.8955,58045926.09949991,57228763.0
Einrichtungskosten,10150000,11310000,12000000,12360000,14040000
Produktionskosten,49170650,45375275,41658800,38010925,34298450
Transportkosten,1893696,2001729,2172671,2202872,2363277
Emissionskosten,2319598,3373523,4438116,5472129,6527036
CO2-Ausstoß,24623868,32488975,40433699,48150215,56022659
Optimality Gap,5.5520352703843864e-08,2.6557764978432535e-05,3.8528696330551414e-08,1.3190149405800217e-07,1.1597297080422802e-07
Run Time,1.0737740993499756,15.078645944595337,18.75830101966858,17.39654302597046,32.685559034347534
Variables,6293,12586,18879,25172,31465
Constraints,1694,3388,5082,6776,8470
Nodes,50.0,3323.0,19713.0,28973.0,60564.0
