,-50.0%,-25.0%,0.0%,25.0%,50.0%
Gesamtkosten,69272248.82000002,70833159.63000005,71835469.21350008,73516449.54799995,74537480.97799999
Einrichtungskosten,9870000,10870000,11300000,12400000,12830000
Produktionskosten,55247350,54569225,53891100,53212975,52534850
Transportkosten,1869529,2057514,2254319,2458348,2671062
Emissionskosten,2285370,3336421,4390051,5445126,6501569
CO2-Ausstoß,24368430,32212096,40075004,47948703,55832608
Optimality Gap,0.0,1.0921125266395246e-08,6.721001193155973e-08,8.089507904881741e-10,8.703816586328419e-06
Run Time,0.9387528896331787,9.310587882995605,4.918383836746216,13.997596025466919,13.190659046173096
Variables,6293,12586,18879,25172,31465
Constraints,1694,3388,5082,6776,8470
Nodes,6.0,1770.0,93.0,10020.0,2649.0
